,sample_id,filename,given_label,noisy_label
0,0,bos_taurus_s_000507.png,19,19
1,1,stegosaurus_s_000125.png,29,29
2,2,mcintosh_s_000643.png,0,0
3,3,altar_boy_s_001435.png,11,35
4,4,cichlid_s_000031.png,1,1
5,5,phone_s_002161.png,86,86
6,6,car_train_s_000043.png,90,12
7,7,beaker_s_000604.png,28,28
8,8,fog_s_000397.png,23,23
9,9,rogue_elephant_s_000421.png,31,31
10,10,computer_keyboard_s_000757.png,39,39
11,11,willow_tree_s_000645.png,96,52
12,12,sunflower_s_000549.png,82,82
13,13,palace_s_000759.png,17,37
14,14,adriatic_s_001782.png,71,71
15,15,computer_keyboard_s_001277.png,39,39
16,16,bike_s_000682.png,8,8
17,17,wolf_pup_s_001323.png,97,43
18,18,squirrel_s_002467.png,80,80
19,19,sea_s_000678.png,71,71
20,20,shrew_s_002233.png,74,77
21,21,pine_tree_s_000087.png,59,59
22,22,rose_s_000373.png,70,45
23,23,surveillance_system_s_000769.png,87,87
24,24,pine_s_001533.png,59,59
25,25,table_s_000897.png,84,84
26,26,opossum_s_001237.png,64,50
27,27,quercus_alba_s_000257.png,52,52
28,28,leopard_s_000414.png,42,42
29,29,possum_s_002195.png,64,64
30,30,bike_s_000127.png,8,8
31,31,balmoral_castle_s_000361.png,17,17
32,32,acer_saccharinum_s_000646.png,47,96
33,33,lapin_s_000916.png,65,65
34,34,chimp_s_001419.png,21,21
35,35,clock_s_002291.png,22,22
36,36,streetcar_s_000663.png,81,81
37,37,male_child_s_000800.png,11,11
38,38,oriental_cockroach_s_000650.png,24,7
39,39,breakfast_table_s_001135.png,84,84
40,40,coluber_constrictor_s_000067.png,78,13
41,41,lobster_s_000034.png,45,45
42,42,mount_s_002852.png,49,49
43,43,wolf_pup_s_001277.png,97,97
44,44,areca_s_000244.png,56,56
45,45,skyscraper_s_000180.png,76,76
46,46,boy_s_001150.png,11,11
47,47,train_s_001640.png,90,52
48,48,tractor_s_001723.png,89,58
49,49,snake_s_000046.png,78,78
50,50,shortfin_mako_s_000172.png,73,93
51,51,butterfly_s_001371.png,14,62
52,52,television_s_000158.png,87,87
53,53,beer_bottle_s_001063.png,9,9
54,54,adriatic_s_002075.png,71,71
55,55,honeybee_s_001911.png,6,6
56,56,red_maple_s_000275.png,47,47
57,57,reclining_chair_s_001157.png,20,20
58,58,black_woman_s_001310.png,98,11
59,59,silver_maple_s_001664.png,47,59
60,60,syrian_hamster_s_000340.png,36,34
61,61,otter_s_000259.png,55,55
62,62,seal_s_001773.png,72,72
63,63,panthera_leo_s_000068.png,43,43
64,64,morchella_esculenta_s_000159.png,51,51
65,65,female_child_s_000292.png,35,35
66,66,bell_pepper_s_001100.png,83,83
67,67,forest_s_001702.png,33,33
68,68,crocodile_s_002505.png,27,4
69,69,valencia_orange_s_000087.png,53,53
70,70,tulip_s_000253.png,92,54
71,71,mus_musculus_s_000005.png,50,67
72,72,arabian_camel_s_000259.png,15,15
73,73,tractor_s_000104.png,89,41
74,74,hamster_s_001554.png,36,36
75,75,caterpillar_s_001005.png,18,44
76,76,bulldozer_s_000433.png,89,89
77,77,man_s_000841.png,46,46
78,78,woods_s_000031.png,33,33
79,79,leopard_s_000033.png,42,42
80,80,keyboard_s_000092.png,39,39
81,81,possum_s_000413.png,64,97
82,82,skunk_s_000825.png,75,75
83,83,kangaroo_s_002457.png,38,89
84,84,cirrocumulus_s_001397.png,23,71
85,85,panthera_pardus_s_000593.png,42,97
86,86,raccoon_s_002740.png,66,10
87,87,garden_snail_s_000513.png,77,77
88,88,mount_s_000051.png,49,49
89,89,caterpillar_s_000450.png,18,79
90,90,man_s_000737.png,46,46
91,91,camel_s_000876.png,15,15
92,92,girl_s_001964.png,35,35
93,93,minuteman_s_000073.png,69,9
94,94,fin_whale_s_000110.png,95,95
95,95,sweet_pepper_s_000921.png,83,83
96,96,manual-skunk007.png,75,75
97,97,nematode_s_000034.png,99,86
98,98,shark_s_002026.png,73,30
99,99,marine_turtle_s_000339.png,93,93
100,100,river_otter_s_000028.png,55,38
101,101,computer_keyboard_s_000598.png,39,39
102,102,castor_fiber_s_000167.png,4,55
103,103,timber_wolf_s_000489.png,97,97
104,104,dessert_plate_s_000192.png,61,61
105,105,turtle_s_000005.png,93,93
106,106,mushroom_s_001005.png,51,51
107,107,icbm_s_000392.png,69,69
108,108,wine_palm_s_000123.png,56,18
109,109,breakfast_table_s_000153.png,84,84
110,110,pinon_pine_s_001228.png,59,96
111,111,didelphis_virginiana_s_000042.png,64,64
112,112,armoire_s_000081.png,94,94
113,113,beaver_s_001511.png,4,4
114,114,boy_s_000081.png,11,46
115,115,forest_s_001481.png,33,33
116,116,route_s_002291.png,68,68
117,117,kangaroo_s_001956.png,38,38
118,118,chaise_s_001222.png,20,20
119,119,forest_s_000144.png,33,18
120,120,fox_s_001040.png,34,80
121,121,flatfish_s_000465.png,32,32
122,122,man_s_000985.png,46,11
123,123,bitter_orange_s_000905.png,53,53
124,124,tiger_s_001271.png,88,42
125,125,eagle_ray_s_000171.png,67,73
126,126,rose_s_001917.png,70,83
127,127,possum_s_000350.png,64,64
128,128,temple_orange_s_000014.png,53,53
129,129,opossum_s_000065.png,64,64
130,130,cycle_s_002598.png,8,79
131,131,salix_alba_s_000332.png,96,96
132,132,television_system_s_001769.png,87,94
133,133,dolphin_s_000421.png,30,30
134,134,lounge_chair_s_001124.png,20,20
135,135,atlantic_bottlenose_dolphin_s_000021.png,30,30
136,136,raccoon_s_001121.png,66,66
137,137,cattle_s_000366.png,19,15
138,138,wtc_s_002253.png,76,69
139,139,television_s_000053.png,87,87
140,140,oak_tree_s_000106.png,52,52
141,141,poppy_s_001932.png,62,62
142,142,missy_s_000260.png,35,11
143,143,hedgehog_s_000950.png,63,63
144,144,discharge_lamp_s_001121.png,40,40
145,145,castor_canadensis_s_000795.png,4,4
146,146,worm_s_001047.png,99,99
147,147,hedgehog_s_000483.png,63,63
148,148,masked_shrew_s_000089.png,74,74
149,149,sour_orange_s_001216.png,53,83
150,150,crab_s_001407.png,26,8
151,151,whale_s_000867.png,95,55
152,152,minibike_s_000824.png,48,48
153,153,nile_crocodile_s_001013.png,27,80
154,154,forest_s_001851.png,33,33
155,155,dinosaur_s_002033.png,29,29
156,156,keyboard_s_001222.png,39,39
157,157,argiope_aurantia_s_000308.png,79,6
158,158,flounder_s_001779.png,32,73
159,159,adam_s_002034.png,46,2
160,160,common_opossum_s_000023.png,64,64
161,161,chalice_s_001706.png,28,28
162,162,tank_s_000640.png,85,90
163,163,plaice_s_000550.png,32,74
164,164,sunflower_s_000444.png,82,82
165,165,snake_s_000451.png,78,45
166,166,keyboard_s_000055.png,39,39
167,167,orchid_s_000878.png,54,62
168,168,cup_s_001227.png,28,10
169,169,raccoon_s_002187.png,66,66
170,170,rabbit_s_001952.png,65,65
171,171,seal_s_001343.png,72,55
172,172,chimp_s_002067.png,21,21
173,173,opossum_s_001219.png,64,64
174,174,poppy_s_001961.png,62,54
175,175,seal_s_000038.png,72,72
176,176,macoun_s_000065.png,0,0
177,177,banded_gecko_s_000650.png,44,18
178,178,beetle_s_000229.png,7,7
179,179,footbridge_s_000052.png,12,37
180,180,cattle_s_001978.png,19,19
181,181,male_child_s_000374.png,11,35
182,182,elephant_s_002362.png,31,19
183,183,saucer_s_001505.png,61,53
184,184,spider_s_000009.png,79,79
185,185,lobster_s_000715.png,45,26
186,186,tram_s_000475.png,81,81
187,187,spider_s_000773.png,79,79
188,188,black_woman_s_000982.png,98,46
189,189,lion_cub_s_000553.png,43,43
190,190,man_s_000436.png,46,46
191,191,numbfish_s_000023.png,67,93
192,192,squirrel_s_001451.png,80,24
193,193,divided_highway_s_001338.png,68,76
194,194,sorex_araneus_s_000172.png,74,74
195,195,motorcycle_s_001856.png,48,48
196,196,streetcar_s_001848.png,81,81
197,197,wardrobe_s_000359.png,94,94
198,198,telephone_set_s_001471.png,86,86
199,199,step_rocket_s_000566.png,69,69
200,200,keyboard_s_000991.png,39,39
201,201,shark_s_000459.png,73,73
202,202,baby_s_000449.png,2,2
203,203,cain_s_000179.png,46,11
204,204,mount_s_000197.png,49,49
205,205,hedgehog_s_000032.png,63,72
206,206,panthera_leo_s_000716.png,43,43
207,207,butterfly_s_000777.png,14,93
208,208,alp_s_002103.png,49,49
209,209,ring_road_s_000322.png,68,68
210,210,rabbit_s_001665.png,65,80
211,211,lawn_mower_s_000052.png,41,41
212,212,house_s_000992.png,37,37
213,213,lobster_s_001705.png,45,70
214,214,hamster_s_001834.png,36,36
215,215,chimp_s_000280.png,21,21
216,216,garden_snail_s_000398.png,77,77
